,cafe_do_mario,vo_mira_conilon,vo_mira_arabica,cafe_saulo_gourmet,cafe_saulo_especial,temp_amb,umid_amb,timex,temp2,charge_bt_modificado,Acima de 2000,Abaixo de 2000
262,0,0,0,0,1,30.5,0.62,14.0001678,143.37493012,216.3451901,1,0
263,0,0,0,0,1,30.5,0.62,16.00109635,135.25263186,216.3451901,1,0
264,0,0,0,0,1,30.5,0.62,17.99985665,127.39253623,216.3451901,1,0
265,0,0,0,0,1,30.5,0.62,20.00018145,120.67726113,216.3451901,1,0
266,0,0,0,0,1,30.5,0.62,21.999769999999998,115.05841682,216.3451901,1,0
267,0,0,0,0,1,30.5,0.62,23.999842049999998,109.9004739,216.3451901,1,0
268,0,0,0,0,1,30.5,0.62,26.00042235,105.94563064,216.3451901,1,0
269,0,0,0,0,1,30.5,0.62,27.99984635,102.08277645,216.3451901,1,0
270,0,0,0,0,1,30.5,0.62,30.00104235,98.72429969,216.3451901,1,0
271,0,0,0,0,1,30.5,0.62,32.00000565,95.81372876,216.3451901,1,0
272,0,0,0,0,1,30.5,0.62,33.9999844,93.24866679,216.3451901,1,0
273,0,0,0,0,1,30.5,0.62,36.00015535,91.39167331,216.3451901,1,0
274,0,0,0,0,1,30.5,0.62,37.9999619,89.58004452,216.3451901,1,0
275,0,0,0,0,1,30.5,0.62,39.9995483,88.03486249,216.3451901,1,0
276,0,0,0,0,1,30.5,0.62,42.000092,86.78054832,216.3451901,1,0
277,0,0,0,0,1,30.5,0.62,44.0002949,85.73138394,216.3451901,1,0
278,0,0,0,0,1,30.5,0.62,46.00003715,84.84536359,216.3451901,1,0
279,0,0,0,0,1,30.5,0.62,48.0000491,84.1817433,216.3451901,1,0
280,0,0,0,0,1,30.5,0.62,50.0001242,83.74383013,216.3451901,1,0
281,0,0,0,0,1,30.5,0.62,51.99955625,83.45308346,216.3451901,1,0
282,0,0,0,0,1,30.5,0.62,54.000191199999996,83.27163248,216.3451901,1,0
283,0,0,0,0,1,30.5,0.62,56.000185699999996,83.19291513,216.3451901,1,0
284,0,0,0,0,1,30.5,0.62,58.000633900000004,83.21496163,216.3451901,1,0
285,0,0,0,0,1,30.5,0.62,60.000987099999996,83.41767315,216.3451901,1,0
286,0,0,0,0,1,30.5,0.62,62.0005251,83.64434721,216.3451901,1,0
287,0,0,0,0,1,30.5,0.62,63.99996775,83.89768993,216.3451901,1,0
288,0,0,0,0,1,30.5,0.62,66.00153395000001,84.25746057,216.3451901,1,0
289,0,0,0,0,1,30.5,0.62,68.00037645,84.60828202,216.3451901,1,0
290,0,0,0,0,1,30.5,0.62,70.00034930000001,85.1094531,216.3451901,1,0
291,0,0,0,0,1,30.5,0.62,72.00073169999999,85.67395701,216.3451901,1,0
292,0,0,0,0,1,30.5,0.62,74.000092,86.21604775,216.3451901,1,0
293,0,0,0,0,1,30.5,0.62,75.99976824999999,86.79145789,216.3451901,1,0
294,0,0,0,0,1,30.5,0.62,78.00016780000001,87.35174538,216.3451901,1,0
295,0,0,0,0,1,30.5,0.62,80.00024085000001,87.98174319,216.3451901,1,0
296,0,0,0,0,1,30.5,0.62,81.9996319,88.68063522,216.3451901,1,0
297,0,0,0,0,1,30.5,0.62,84.00035175,89.36257868,216.3451901,1,0
298,0,0,0,0,1,30.5,0.62,85.99990310000001,90.09042118,216.3451901,1,0
299,0,0,0,0,1,30.5,0.62,88.00018084999999,90.79993885,216.3451901,1,0
300,0,0,0,0,1,30.5,0.62,90.00062445,91.49950997,216.3451901,1,0
301,0,0,0,0,1,30.5,0.62,92.0001627,92.27036083,216.3451901,1,0
302,0,0,0,0,1,30.5,0.62,93.999682,93.03068697,216.3451901,1,0
303,0,0,0,0,1,30.5,0.62,96.00055685000001,93.81103817,216.3451901,1,0
304,0,0,0,0,1,30.5,0.62,98.00050015,94.63799311,216.3451901,1,0
305,0,0,0,0,1,30.5,0.62,100.00012430000001,95.38940947,216.3451901,1,0
306,0,0,0,0,1,30.5,0.62,101.99992255000001,96.21722796,216.3451901,1,0
307,0,0,0,0,1,30.5,0.62,104.00133105,97.05672272,216.3451901,1,0
308,0,0,0,0,1,30.5,0.62,106.00003899999999,97.84866659,216.3451901,1,0
309,0,0,0,0,1,30.5,0.62,107.9999133,98.64590009,216.3451901,1,0
310,0,0,0,0,1,30.5,0.62,110.00139905,99.38134628,216.3451901,1,0
311,0,0,0,0,1,30.5,0.62,111.99977659999999,100.15334467,216.3451901,1,0
312,0,0,0,0,1,30.5,0.62,114.00025975,100.96180735,216.3451901,1,0
313,0,0,0,0,1,30.5,0.62,115.99979780000001,101.79518639,216.3451901,1,0
314,0,0,0,0,1,30.5,0.62,118.00015435,102.61508929,216.3451901,1,0
